@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute 'Overdrive- Drive' numeric
@attribute Ch-Mix numeric
@attribute 'Rev- space' numeric
@attribute 'Rev - Mix' numeric
@attribute 'Del - Mix' numeric
@attribute 'Distorsion - Drive' numeric

@data
390,'2023/04/18 13:33:01:302',5,6767.958984,6426.811523,871.73645,1441.453491,168.672073,5700.564453,7068.300293,2061.770752,3277.479004,3058.797119,390.567261,868.060364,99.661636,2434.401367,2760.749023,1092.730347,2390.160645,2141.013916,252.712646,662.238342,74.570305,1640.083618,1707.035034,819.784363,0,0.8,0.702343,0.649606,0.645669,0.80315
391,'2023/04/18 13:33:01:827',5,4822.789063,864.522217,1056.580933,1384.269165,181.257584,5187.428223,6964.397461,1130.600342,2946.970703,379.694824,495.986237,778.444885,105.483788,1935.48877,2452.101807,710.993286,2332.001221,254.964722,324.249817,571.936096,84.908234,1167.39209,1320.738403,614.990601,0,0.8,0.702343,0.649606,0.645669,0.80315
392,'2023/04/18 13:33:02:357',5,5470.029297,1411.97229,886.889526,2178.025879,225.943024,5224.135742,7037.788574,1509.19165,4535.464355,646.878845,444.694305,1127.803711,136.3302,1958.304688,2512.078613,907.960327,4015.351318,453.813721,309.539246,761.951477,102.251877,1132.050659,1351.840332,736.195496,0,0.8,0.702343,0.649606,0.645669,0.80315
393,'2023/04/18 13:33:02:885',5,1924.015259,1226.860962,816.80249,1267.162109,195.041672,5004.402344,6639.245117,1007.578308,1244.012329,490.683685,427.474121,756.729797,127.925964,1782.119141,2285.853516,559.346436,990.515503,302.71991,286.611603,573.437927,101.175507,963.399719,1180.194336,437.003357,0,0.8,0.702343,0.649606,0.645669,0.80315
394,'2023/04/18 13:33:03:400',5,3238.987061,1011.323059,871.928894,975.91748,217.058029,4813.787598,7074.576172,1133.341431,1698.186401,580.16394,410.249023,592.538452,147.648315,1774.247437,2481.25708,751.709045,1326.666504,448.612854,262.207672,452.923523,115.167976,1005.603027,1297.991821,625.51178,0,0.8,0.702343,0.649606,0.645669,0.80315
395,'2023/04/18 13:33:03:878',5,20121.238281,1614.808838,582.085266,740.603882,197.183533,5738.516602,7793.967773,3011.313232,6988.301758,798.332275,281.142365,374.007263,113.43943,2420.876709,3171.750488,1725.411011,3758.989502,636.984863,192.808029,263.277283,87.807755,1588.852417,2044.318359,1370.178955,0,0.8,0.702343,0.649606,0.645669,0.80315
396,'2023/04/18 13:33:04:401',5,2580.544678,1031.083862,714.061646,276.739624,230.414703,5339.571289,7159.34082,1822.302124,1768.975708,635.403992,341.031281,177.774765,120.09964,2223.880127,2692.525391,1060.700439,1489.119263,544.564209,220.850388,144.538742,88.903687,1460.084229,1578.316895,860.069519,0,0.8,0.702343,0.649606,0.645669,0.80315
397,'2023/04/18 13:33:04:930',5,2065.375244,706.305542,661.076599,264.052795,266.690247,5257.217285,6986.203125,1898.24353,1035.625244,311.91098,317.434143,154.415863,148.590164,1991.422607,2502.462891,937.684631,742.260864,225.953552,212.440338,124.37812,106.339317,1157.819458,1331.438354,672.707214,0,0.8,0.702343,0.649606,0.645669,0.80315
398,'2023/04/18 13:33:05:463',5,2334.910645,796.327332,516.586548,229.815582,229.646164,6063.196289,7582.102539,2491.35376,1312.86438,417.707153,279.869598,145.190552,140.480774,2510.958496,2899.421387,1441.357056,1036.765869,319.92627,198.16774,115.975365,106.471146,1636.27124,1734.628784,1147.685791,0,0.8,0.702343,0.649606,0.645669,0.80315
399,'2023/04/18 13:33:05:977',5,2325.230713,1617.203613,821.821899,654.619385,140.138077,4773.929688,6490.54541,1454.469604,1684.496094,815.903137,397.473022,382.453156,84.952065,1827.197021,2359.931396,931.539246,1413.961426,610.140503,259.04657,296.564148,64.88562,1093.556885,1326.410889,766.526123,0,0.8,0.702343,0.649606,0.645669,0.80315
400,'2023/04/18 13:33:06:529',5,1596.795532,703.158081,810.326599,722.888855,152.929703,4848.876465,6538.185547,1021.754028,974.305908,325.789825,413.684784,503.03775,92.78405,1776.051514,2330.460449,585.842712,779.626221,234.695816,291.015076,423.364014,71.597168,997.457275,1237.155518,471.147736,0,0.8,0.702343,0.649606,0.645669,0.80315
401,'2023/04/18 13:33:07:052',5,2485.759521,653.626404,935.022522,736.777344,245.665512,5550.203125,6951.695313,1451.994019,1302.720093,293.717896,444.213409,487.718506,132.837769,2181.965088,2574.177979,838.892761,1002.918457,208.799088,289.342316,390.183105,96.245003,1406.165039,1517.391235,683.661743,0,0.8,0.702343,0.649606,0.645669,0.80315
402,'2023/04/18 13:33:07:557',5,1734.660522,685.994568,922.289307,770.294434,165.630417,5113.622559,6420.049316,968.94281,961.543152,260.397583,444.405426,525.250793,107.958824,1764.727539,2204.117188,540.659851,715.432068,157.431396,294.298218,436.325012,82.68409,891.326965,1107.653564,425.959473,0,0.8,0.702343,0.649606,0.645669,0.80315
403,'2023/04/18 13:33:08:055',5,1896.05957,600.069641,957.219421,619.33667,274.070679,4838.329102,6444.007324,1572.68103,1217.274414,309.755737,476.071228,394.219635,147.000275,2035.903931,2359.477539,1154.402344,1004.851868,245.911057,319.283478,314.826813,111.227646,1379.155518,1342.743286,1011.454224,0,0.8,0.702343,0.649606,0.645669,0.80315
404,'2023/04/18 13:33:08:579',5,2020.309937,923.018738,882.144531,811.267517,241.105179,5136.222656,6955.959473,1522.974365,1268.623657,474.315033,433.319916,446.032166,143.044693,2036.713135,2572.685547,976.411804,1021.053711,365.601746,280.46347,330.472229,111.075203,1255.762573,1440.709961,807.006653,0,0.8,0.702343,0.649606,0.645669,0.80315
405,'2023/04/18 13:33:09:081',5,1578.37439,863.136658,1011.935608,781.198547,229.423676,5149.372559,6574.002441,1114.868896,948.429138,361.543884,490.578003,502.194977,123.640862,1947.173462,2354.766602,727.986816,737.931274,264.126862,298.325073,394.637756,87.812653,1118.395386,1251.120117,611.15094,0,0.8,0.702343,0.649606,0.645669,0.80315
406,'2023/04/18 13:33:09:614',5,1664.126953,572.503662,950.316772,769.581177,195.814285,4561.827148,6269.236328,1250.927734,996.696777,210.876312,438.205536,514.744385,118.306885,1783.311279,2286.630615,825.629822,779.750854,120.631927,285.474121,420.742554,94.407867,1092.463379,1296.428467,687.432373,0,0.8,0.702343,0.649606,0.645669,0.80315
407,'2023/04/18 13:33:10:126',5,1314.804321,549.791382,817.350403,582.478271,258.161499,4992.37793,6540.340332,1124.036011,763.080444,209.274063,398.843872,402.206329,140.746124,1827.311768,2281.332275,595.138245,566.763123,124.741669,266.767944,332.087891,102.767693,1014.437195,1174.07312,457.417297,0,0.8,0.702343,0.649606,0.645669,0.80315
408,'2023/04/18 13:33:10:675',5,2946.179199,1250.878906,751.878174,870.0177,226.64975,4905.613281,6852.705566,1147.790283,1564.412109,722.183594,357.411316,469.157745,150.867859,1742.051636,2345.232666,658.477844,1136.767212,565.120483,239.378098,336.170593,118.841095,911.592346,1150.284546,512.02887,0,0.8,0.702343,0.649606,0.645669,0.80315
409,'2023/04/18 13:33:11:209',5,33950.371094,2487.436768,1008.4552,1480.241333,196.191544,7410.25,8881.890625,5278.498535,16205.930664,1245.097168,484.801514,855.384766,114.909729,3422.408936,3756.022949,3447.464111,11004.847656,929.046326,312.331116,643.71582,84.075249,2369.262695,2461.383301,2805.146484,0,0.8,0.702343,0.649606,0.645669,0.80315
410,'2023/04/18 13:33:11:714',5,2193.468994,852.667297,865.05658,1449.530396,235.867981,4826.912109,6788.384277,1305.569214,1383.664917,369.842743,437.464874,840.359558,131.661713,1975.747437,2510.418457,771.789734,1075.390991,249.102905,293.183075,621.338501,95.888779,1308.739868,1473.980957,619.200439,0,0.8,0.702343,0.649606,0.645669,0.80315
411,'2023/04/18 13:33:12:224',5,2298.90332,766.901184,712.146912,1423.810059,249.061508,4808.203613,6463.48291,1099.28064,1470.216431,298.923096,322.199982,825.587646,128.477493,1744.660156,2259.793457,586.065186,1140.124023,183.550751,211.327652,600.756592,95.610039,933.776245,1143.140381,445.647552,0,0.8,0.702343,0.649606,0.645669,0.80315
412,'2023/04/18 13:33:12:754',5,2705.6521,1444.289185,930.912354,1587.80835,145.792587,4916.266602,6631.480957,860.618103,1760.312012,680.893921,419.345917,834.952637,94.074951,1768.122559,2313.193115,485.582733,1369.97583,495.045593,261.876251,588.637817,74.872467,932.59845,1152.883301,378.270111,0,0.8,0.702343,0.649606,0.645669,0.80315
