@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric

@data
53,'2023/03/30 14:04:53:237',1,0.655385,0.790769,0.624615,0.544615,0.014791,0.013689,0.006131,0.010134,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
54,'2023/03/30 14:04:53:738',1,0.513846,0.753846,0.636923,0.618462,0.031758,0.015631,0.003724,0.009269,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
55,'2023/03/30 14:04:54:239',1,0.501538,0.618462,0.550769,0.556923,0.0667,0.021295,0.003503,0.008377,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
56,'2023/03/30 14:04:54:740',1,0.673846,0.772308,0.686154,0.661538,0.017422,0.014758,0.003949,0.009192,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
57,'2023/03/30 14:04:55:244',1,0.593846,0.661538,0.563077,0.544615,0.019437,0.016712,0.004827,0.009542,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
58,'2023/03/30 14:04:55:744',1,0.655385,0.790769,0.550769,0.513846,0.025172,0.018831,0.003712,0.009707,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
59,'2023/03/30 14:04:56:243',1,0.612308,0.618462,0.643077,0.507692,0.026507,0.018669,0.003004,0.008211,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
60,'2023/03/30 14:04:56:746',1,0.716923,0.729231,0.575385,0.581538,0.014847,0.01247,0.004287,0.008952,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
61,'2023/03/30 14:04:57:245',1,0.747692,0.790769,0.630769,0.643077,0.013087,0.010571,0.003126,0.008524,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
62,'2023/03/30 14:04:57:747',1,0.716923,0.723077,0.612308,0.636923,0.013573,0.012198,0.003407,0.009195,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
63,'2023/03/30 14:04:58:248',1,0.778462,0.753846,0.556923,0.550769,0.015098,0.015383,0.003866,0.008807,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
64,'2023/03/30 14:04:58:750',1,0.618462,0.692308,0.581538,0.612308,0.011381,0.010845,0.003846,0.008653,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
65,'2023/03/30 14:04:59:249',1,0.593846,0.68,0.587692,0.6,0.013718,0.014375,0.004303,0.0103,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
66,'2023/03/30 14:04:59:753',1,0.901538,0.913846,0.507692,0.581538,0.017859,0.018368,0.003888,0.007796,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
67,'2023/03/30 14:05:00:251',1,0.815385,0.833846,0.575385,0.606154,0.044888,0.028379,0.004093,0.009477,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
68,'2023/03/30 14:05:00:754',1,0.483077,0.778462,0.544615,0.532308,0.052293,0.021456,0.002975,0.009669,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
69,'2023/03/30 14:05:01:254',1,0.618462,0.753846,0.593846,0.587692,0.018472,0.016542,0.005183,0.01027,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
70,'2023/03/30 14:05:01:756',1,0.655385,0.741538,0.526154,0.581538,0.063782,0.015455,0.005398,0.008406,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
71,'2023/03/30 14:05:02:257',1,0.538462,0.673846,0.575385,0.538462,0.053767,0.01768,0.003569,0.008835,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
72,'2023/03/30 14:05:02:758',1,0.704615,0.766154,0.6,0.575385,0.017296,0.013372,0.004305,0.010479,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
73,'2023/03/30 14:05:03:261',1,0.698462,0.655385,0.6,0.458462,0.014575,0.015159,0.00649,0.014732,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
74,'2023/03/30 14:05:03:763',1,0.735385,0.729231,0.612308,0.495385,0.010899,0.011452,0.007556,0.009855,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
