TIMESTAMP;STREAM_ID;SEQUENCE; Brachioradialis  Sx ; Brachioradialis  Dx ; Extensor Carpi Radialis Sx ; Extensor Carpi Radialis  Dx ; Triceps brachii Long Head Dx ; Deltoid  Lateral  Dx ; Abductor digiti minimi (hand) Sx ; Abductor digiti minimi (hand) Dx
nan;96;4423;6409;3549;2176;-2106;-2429;374;-5730;-5603
nan;96;4425;5020;1634;648;-2803;-566;288;-7618;-4069
nan;96;4427;5661;922;1369;-1867;-317;122;-4925;-2075
nan;96;4429;6839;1999;3381;-517;-705;20;-2906;-1571
nan;96;4431;6185;2017;4908;124;-668;-44;-4132;-109
nan;96;4433;6886;2076;3928;578;-1557;-55;-1567;247
nan;96;4435;8321;1934;2226;1066;-2201;-68;2071;-981
nan;96;4437;7784;1163;977;1314;-1379;-26;2683;-1215
nan;96;4439;8522;1204;336;744;-2162;28;9819;-2027
nan;96;4441;10419;2301;648;152;-3712;-57;16133;-2882
nan;96;4443;11068;1191;759;-148;-2999;-156;13181;-546
nan;96;4445;10503;-203;1504;-238;-1943;-165;11303;770
nan;96;4447;11180;-2071;1420;204;-987;-121;13503;2743
nan;96;4449;14621;-1675;-301;464;-988;-153;18441;2303
nan;96;4451;18116;-844;-111;679;-1410;-215;21955;1162
nan;96;4453;15219;-2879;320;882;895;-264;16666;3275
nan;96;4455;13215;-2622;731;-115;2412;-170;12484;1851
nan;96;4457;14755;-860;1031;-1450;1610;-128;13555;-1701
nan;96;4459;12112;-2854;542;-2386;4267;-83;7271;-921
nan;96;4461;11227;-3350;-13;-1330;4636;-122;1912;-258
nan;96;4463;12589;-2545;-440;221;4135;-296;-472;1260
nan;96;4465;12216;-2285;-594;1109;4138;-382;-3884;3419
nan;96;4467;11262;-3028;-609;881;4276;-384;-7683;4536
nan;96;4469;11325;-2727;-193;130;4136;-374;-9879;4378
nan;96;4471;11799;-2830;-151;103;4304;-288;-9890;4650
nan;96;4473;14216;-1089;-301;136;2158;-245;-4465;2426
nan;96;4475;13793;-909;375;-250;1609;-139;-2059;1323
nan;96;4477;12981;36;1515;-567;1209;39;-3105;-539
nan;96;4479;12662;756;1743;-624;-1;260;-615;-2420
nan;96;4481;12745;987;2352;-126;-889;380;6366;-3629
nan;96;4483;13922;1992;2576;378;-2575;496;12869;-4593
nan;96;4485;16384;3256;3801;662;-4395;616;15282;-4915
nan;96;4487;11541;2016;3772;1009;-4272;674;12442;-2832
nan;96;4489;5743;3470;138;1301;-6015;492;13813;-4300
nan;96;4491;-2691;2996;-2730;1127;-5284;265;14318;-3728
nan;96;4493;-8568;1870;-2125;512;-3004;188;10029;-3083
nan;96;4495;-10413;1856;-640;-178;-1979;170;7850;-3009
nan;96;4497;-11904;465;795;-260;-511;166;6909;-363
nan;96;4499;-14585;325;2382;-17;565;120;597;303
nan;96;4501;-15999;685;3597;77;632;113;-2956;-24
nan;96;4503;-16500;-1275;3147;-86;2521;72;-5693;1992
nan;96;4505;-13051;1616;528;-256;710;26;-7070;-1352
nan;96;4507;-10349;3112;-180;-391;-1474;-65;-3614;-3435
nan;96;4509;-13407;-2065;3479;-568;3332;-134;-5251;1786
nan;96;4511;-14515;-4435;4885;-575;6070;-139;-6525;6015
nan;96;4513;-13262;-2427;2027;88;3977;-64;-4007;4466
nan;96;4515;-13940;-817;-2479;468;1617;-58;-3833;2417
nan;96;4517;-18438;-2239;-2916;408;2709;-89;-4761;3133
nan;96;4519;-23899;-2850;-1372;242;2964;-111;233;4065
nan;96;4521;-26350;-1679;-2092;77;1193;-48;1945;3632
nan;96;4523;-23935;-29;-9196;266;-118;15;3322;2022
nan;96;4525;-21789;-139;-12852;371;-1137;159;7075;1544
nan;96;4527;-21027;-855;-9751;506;-1815;216;9462;1808
nan;96;4529;-18131;651;-4501;1195;-3122;241;14318;-49
nan;96;4531;-15060;1644;256;1487;-4141;153;16752;-1956
nan;96;4533;-15439;-1274;3799;1037;-1119;47;11314;439
nan;96;4535;-14841;-2091;4284;498;-265;-32;8010;1492
nan;96;4537;-15335;-2668;3248;42;388;-55;8834;1862
