@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric

@data
101,'2023/04/07 18:08:58:356',1,0.692308,0.692308,0.52,0.563077,0.513846,0.544615,0.353846,0.470769,0,0.8,0.3,0.8,0.702343,0.649606,0.700787,0.645669,0.80315,0.8
102,'2023/04/07 18:19:13:939',2,0.643077,0.710769,0.470769,0.661538,0.532308,0.587692,0.366154,0.673846,0,0.496063,0.322805,0.296558,0.702343,0.295276,0.716535,0.299213,0.80315,0.834646
103,'2023/04/07 18:19:14:340',2,0.501538,0.612308,0.550769,0.501538,0.501538,0.44,0.470769,0.458462,0,0.496063,0.322805,0.296558,0.702343,0.295276,0.716535,0.299213,0.80315,0.834646
104,'2023/04/07 18:19:14:742',2,0.532308,0.544615,0.538462,0.550769,0.618462,0.483077,0.476923,0.581538,0,0.496063,0.322805,0.296558,0.702343,0.295276,0.716535,0.299213,0.80315,0.834646
105,'2023/04/07 18:19:15:148',2,0.6,0.581538,0.526154,0.575385,0.606154,0.489231,0.538462,0.575385,0,0.496063,0.322805,0.296558,0.702343,0.295276,0.716535,0.299213,0.80315,0.834646
106,'2023/04/07 18:19:15:544',2,0.673846,0.649231,0.495385,0.593846,0.538462,0.575385,0.421538,0.569231,0,0.496063,0.322805,0.296558,0.702343,0.295276,0.716535,0.299213,0.80315,0.834646
107,'2023/04/07 18:19:15:946',2,0.698462,0.735385,0.513846,0.550769,0.618462,0.44,0.489231,0.6,0,0.496063,0.322805,0.296558,0.702343,0.295276,0.716535,0.299213,0.80315,0.834646
108,'2023/04/07 18:19:16:347',2,0.710769,0.741538,0.446154,0.593846,0.544615,0.550769,0.446154,0.667692,0,0.496063,0.322805,0.296558,0.702343,0.295276,0.716535,0.299213,0.80315,0.834646
109,'2023/04/07 18:19:16:748',2,0.723077,0.735385,0.470769,0.636923,0.624615,0.458462,0.403077,0.532308,0,0.496063,0.322805,0.296558,0.702343,0.295276,0.716535,0.299213,0.80315,0.834646
110,'2023/04/07 18:19:17:150',2,0.661538,0.710769,0.507692,0.587692,0.581538,0.501538,0.489231,0.636923,0,0.496063,0.322805,0.296558,0.702343,0.295276,0.716535,0.299213,0.80315,0.834646
111,'2023/04/07 18:19:17:550',2,0.563077,0.68,0.495385,0.649231,0.513846,0.569231,0.409231,0.544615,0,0.496063,0.322805,0.296558,0.702343,0.295276,0.716535,0.299213,0.80315,0.834646
112,'2023/04/07 18:19:17:951',2,0.507692,0.661538,0.433846,0.526154,0.501538,0.489231,0.452308,0.538462,0,0.496063,0.322805,0.296558,0.702343,0.295276,0.716535,0.299213,0.80315,0.834646
113,'2023/04/07 18:19:18:356',2,0.6,0.667692,0.476923,0.501538,0.544615,0.495385,0.396923,0.464615,0,0.496063,0.322805,0.296558,0.702343,0.295276,0.716535,0.299213,0.80315,0.834646
114,'2023/04/07 18:19:18:754',2,0.698462,0.747692,0.452308,0.563077,0.526154,0.501538,0.421538,0.618462,0,0.496063,0.322805,0.296558,0.702343,0.295276,0.716535,0.299213,0.80315,0.834646
115,'2023/04/07 18:19:19:155',2,0.643077,0.716923,0.464615,0.52,0.44,0.415385,0.470769,0.470769,0,0.496063,0.322805,0.296558,0.702343,0.295276,0.716535,0.299213,0.80315,0.834646
116,'2023/04/07 18:19:19:555',2,0.618462,0.6,0.470769,0.556923,0.550769,0.507692,0.433846,0.538462,0,0.496063,0.322805,0.296558,0.702343,0.295276,0.716535,0.299213,0.80315,0.834646
117,'2023/04/07 18:19:19:956',2,0.618462,0.710769,0.526154,0.495385,0.489231,0.507692,0.569231,0.483077,0,0.496063,0.322805,0.296558,0.702343,0.295276,0.716535,0.299213,0.80315,0.834646
118,'2023/04/07 18:19:20:358',2,0.655385,0.723077,0.526154,0.550769,0.489231,0.495385,0.587692,0.489231,0,0.496063,0.322805,0.296558,0.702343,0.295276,0.716535,0.299213,0.80315,0.834646
119,'2023/04/07 18:19:20:758',2,0.698462,0.76,0.476923,0.581538,0.587692,0.526154,0.550769,0.489231,0,0.496063,0.322805,0.296558,0.702343,0.295276,0.716535,0.299213,0.80315,0.834646
120,'2023/04/07 18:19:21:160',2,0.587692,0.661538,0.464615,0.507692,0.489231,0.464615,0.501538,0.550769,0,0.496063,0.322805,0.296558,0.702343,0.295276,0.716535,0.299213,0.80315,0.834646
121,'2023/04/07 18:19:21:559',2,0.526154,0.538462,0.458462,0.593846,0.575385,0.421538,0.464615,0.550769,0,0.496063,0.322805,0.296558,0.702343,0.295276,0.716535,0.299213,0.80315,0.834646
122,'2023/04/07 18:19:21:961',2,0.636923,0.643077,0.483077,0.587692,0.581538,0.495385,0.483077,0.550769,0,0.496063,0.322805,0.296558,0.702343,0.295276,0.716535,0.299213,0.80315,0.834646
123,'2023/04/07 18:19:22:362',2,0.569231,0.593846,0.433846,0.612308,0.636923,0.532308,0.470769,0.52,0,0.496063,0.322805,0.296558,0.702343,0.295276,0.716535,0.299213,0.80315,0.834646
